Source:,LMS8001_Companion_3v2,,,,,,,,,,
Component Count:,350,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Collated Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Component Value,Qty,Reference(s),Footprint,Value,Assemble,Description,Manufacturer,Manufacturer Part Number,Vendor,Vendor Part Number
64,0R,11,"R37, R39, R44, R62, R80, R104, R105, R108, R128, R210, R211",LMS8001_KiCAD_Library:SMD0402,0R_0402_NF,NF,"RES, 0.0 OHM,1/16W, JUMP, 0402 SMD,",Yageo,RC0402JR-070RL,Digi-Key,311-0.0JRCT-ND
65,4K99,1,R45,LMS8001_KiCAD_Library:SMD0402,4K99_0402,,RES_SMD_4.99K_OHM_1%_1/16W_0402,Yageo,RC0402FR-074K99L,Digi-Key,311-4.99KLRCT-ND
66,0R,3,"R48, R49, R90",LMS8001_KiCAD_Library:SMD0201,0R_0201_NF,NF,RES 0.0 OHM 1/20W JUMP 0201 SMD,Rohm Semiconductor,MCR006YRTJ000,Digi-Key,RHM0.0CCCT-ND
67,680R,1,R55,LMS8001_KiCAD_Library:SMD0402,680R_0402,,"RES, 680 OHM, 1/16W, 1%, 0402, SMD,",Yageo,RC0402FR-07680RL,Digi-Key,311-680LRCT-ND
68,5K1,1,R65,LMS8001_KiCAD_Library:SMD0402,5K1_0402,,Thick_Film_Resistors_-_SMD_4.1K_OHM_1%,Yageo,RC0402FR-075K1L,Mouser,603-RC0402FR-075K1L
69,10R,1,R66,LMS8001_KiCAD_Library:SMD0402,10R_0402,,"RES, 10 OHM, 1/16W, 5%, 0402, SMD,",Yageo,RC0402JR-0710RL,Digi-Key,311-10JRCT-ND
70,1k,1,R69,LMS8001_KiCAD_Library:SMD0402,1K_0402,,RES 1K OHM 1/16W 1% 0402,Stackpole Electronics Inc,RMCF0402FT1K00,Digi-Key,RMCF0402FT1K00CT-ND
71,51R,2,"R74, R79",LMS8001_KiCAD_Library:SMD0402,51R_0402,,"RES, 51 OHM, 1/16W, 5%, 0402, SMD,",Vishay Dale,CRCW040251R0FKED,Digi-Key,71-CRCW040251R0FKED
72,47R,3,"R76, R77, R78",LMS8001_KiCAD_Library:SMD0402,47R_0402,,"RES, 47 OHM, 1/16W, 1%, 0402, SMD,",Yageo,RC0402FR-0747RL,Digi-Key,311-47.0LRCT-ND
73,0R,1,R93,LMS8001_KiCAD_Library:SMD0805,0R_0805_NF,NF,RES 0.0 OHM 1/4W JUMP 0805 SMD,Yageo,RC0805JR-070RL,Digi-Key,311-0.0ARCT-ND
74,0R,1,R98,LMS8001_KiCAD_Library:SMD0805,0R_0805,,RES 0.0 OHM 1/4W JUMP 0805 SMD,Yageo,RC0805JR-070RL,Digi-Key,311-0.0ARCT-ND
75,33R2,1,R112,LMS8001_KiCAD_Library:SMD0402,33R2_0402,,RES_SMD_33.2_OHM_1%_1/16W_0402,Yageo,RC0402FR-0733R2L,Digi-Key,311-33.2LRCT-ND
76,49R9,2,"R113, R124",LMS8001_KiCAD_Library:SMD0402,49R9_0402,,RES_SMD_49.9_OHM_1%_1/16W_0402,Yageo,RC0402FR-0749R9L,Digi-Key,311-49.9LRCT-ND
77,4K99,1,R114,LMS8001_KiCAD_Library:SMD0402,4K99_0402_NF,NF,RES_SMD_4.99K_OHM_1%_1/16W_0402,Yageo,RC0402FR-074K99L,Digi-Key,311-4.99KLRCT-ND
78,39R,2,"R121, R122",LMS8001_KiCAD_Library:SMD0402,39R_0402,,RES_SMD_39_OHM_1%_1/16W_0402,Yageo,RC0402FR-0739RL,Digi-Key,311-39.0LRCT-ND
79,MCU_RESET,1,SW1,LMS8001_KiCAD_Library:B3U-1000P,MCU_RESET,,Switch tactile SPST 12 V 50 mA,Omron,B3U-1000P,Digikey,SW1020CT-ND
80,Switch 2way,1,SW2,LMS8001_KiCAD_Library:Switch 2way,SW,,"SWITCH DIP, 2POS, HALF PITCH, SMD,",TE Connectivity,GDH02S04,Digi-Key,450-1431-ND
81,Switch 10way,1,SW3,LMS8001_KiCAD_Library:Switch_10way,SW_10,,SWITCH SLIDE DIP SPST 0.025A 24V,C&K,TDA10H0SB1R,Digi-Key,CKN9505TR-ND
82,TCM1-83X+,1,T1,LMS8001_KiCAD_Library:TCM1-63AX+,TR_TCM1-83X+,,RF_Transformer;_10_-_8000_MHz;_RF_Power_0.2_Watt;_Ratio_1:1;_50_Ohm;,Mini-Circuits,TCM1-83X+,,TCM1-83X+
83,NCR2-113+,4,"T2, T3, T6, T7",LMS8001_KiCAD_Library:NCR2-113+,NCR2-113+,,RF_Transformer;_3.5_-_11_GHz;_RF_Power_3_Watt;_Ratio_1:2;_50_Ohm;,Mini-Circuits,NCR2-113+,,NCR2-113+
84,5400BL15B050,4,"T4, T8, T10, T14",LMS8001_KiCAD_Library:5400BL15B050,TR_5400BL15B050_NF,NF,RF_Transformer;_4900_-_5900_MHz;_RF_Power_3_Watt;_Ratio_1:1;_50_Ohm;,Johanson_Technology,5400BL15B050,,5400BL15B050
85,TC1-1-13M+,4,"T5, T9, T11, T15",LMS8001_KiCAD_Library:TC1-1-13M+,TR_TC1-1-13M+,,RF_Transformer;_4.5_-_3000_MHz;_RF_Power_0.25_Watt;_Ratio_1:1;_50_Ohm;,Mini-Circuits,TC1-1-13M+,,TC1-1-13M+
86,LMS8001A,1,U1,LMS8001_KiCAD_Library:LMS8001,LMS8001A,,4-Channel RF Mixer - up to 10 GHz,Lime Microsystems,LMS8001A,,
87,NUP2202W1T2G,1,U2,LMS8001_KiCAD_Library:SC-88-6_NUP2202W1T2G,NUP2202W1T2G,,ESD Suppressors / TVS Diodes LOW CAP DIODE TVS ARRAY,ON Semiconductor,NUP2202W1T2G,Mouser,863-NUP2202W1T2G
88,STM32F105RBT6,1,U3,LMS8001_KiCAD_Library:LQFP64,STM32F105RBT6,,IC MCU 32BIT 128KB FLASH 64LQFP,STMicroelectronics,STM32F105RBT6,Digikey,497-8920-ND
89,LP5900SD-3.3,1,U4,LMS8001_KiCAD_Library:LLP-6,LP5900SD-3.3,,"IC REG, LDO, 3.3V, 0.15A, 6WSON,",NATIONAL SEMICONDUCTOR,LP5900SD-3.3/NOPB,Digi-Key,LP5900SD-3.3/NOPBCT-ND
90,AP7361,4,"U5, U6, U7, U8",LMS8001_KiCAD_Library:U-DFN3030-8,AP7361,,IC_REG_LDO_ADJ_1A_8DFN,Diodes_Incorporated,AP7361-FGE-7,Digi-Key,AP7361-FGE-7DICT-ND
91,NCP702_1V8,1,U9,LMS8001_KiCAD_Library:NCP702_TSOP5,NCP702_1V8,,IC REG LINEAR 1.8V 200MA 5-TSOP,ON_Semiconductor,NCP702SN18T1G,Digi-Key,NCP702SN18T1GOSTR-ND
92,ADM7155,1,U10,LMS8001_KiCAD_Library:LFCSP-8,ADM7155,,Ultra low noise LDO,Analog Devices,ADM7155ACPZ-02-R7,Farnell,2490219
93,NCP349,1,U14,LMS8001_KiCAD_Library:6-DFN,NCP349,,IC CTLR OVP 28V W/NMOS 6-DFN,ON Semiconductor,NCP349MNAETBG,Digi-Key,NCP349MNAETBGOSCT-ND
94,NCP702_3V3,1,U16,LMS8001_KiCAD_Library:NCP702_TSOP5,NCP702_3V3,,IC_REG_LDO_3.3V_0.2A_5TSOP,ON_Semiconductor,NCP702SN33T1G,Digi-Key,NCP702SN33T1GOSCT-ND
95,ADF4002,1,U18,LMS8001_KiCAD_Library:LFCSP 20,ADF4002,,"IC, PLL, FREQUENCY, SYNTH, 20-LFCSP,",Analog Devices Inc,ADF4002BCPZ-RL7,Digi-Key,ADF4002BCPZ-RL7CT-ND
96,NB3H83905C,1,U21,LMS8001_KiCAD_Library:TSSOP16_NB3H83905C,NB3H83905C,,IC_CLK_BUFFER_1:6_100MHZ_16TSSOP,ON_Semiconductor,NB3H83905CDTG,Mouser,863-NB3H83905CDTG 
97,8MHz,1,X1,LMS8001_KiCAD_Library:ABM3B,8MHZ_4PIN,,"Crystal_8.0000MHz_10ppm_10pF_200_Ohm_-10°C_-_60°C_Surface_Mount_4-SMD,_No_Lead_(DFN,_LCC)",Abracon_LLC,ABM3B-8.000MHZ-10-1-U-T,Digikey,535-9721-6-ND
98,RACON_TXCO_PLUTO+,1,XO3,LMS8001_KiCAD_Library:SMD_TXCO_Pluto+,RACON_TXCO_Pluto+_NF,NF,"30.72MHz, RPT7050A, Pluto+,",Rakon,E6245LF,Rakon,E6245LF
99,RACON_RTX5032A_40.00MHz,1,XO4,LMS8001_KiCAD_Library:SMD_RTX5032A,RTX5032A_40.000_MHZ,,40.000MHz_VCXO,Rakon,RTX5032A,Rakon,RTX5032A
